message,label
"Earn ₹5000/day from home, no experience needed, WhatsApp us now: 9XXXXXXXXX",1
"Ghar baithe ₹50000 mahine kamao, sirf mobile chahiye, abhi join karo",1
"URGENT HIRING: Data entry job, earn ₹800/hour, no interview, pay ₹500 registration",1
"Free job offer! Work from home, ₹3000 daily, send Aadhaar card on WhatsApp",1
Congratulations! You have been selected for a WFH job. Pay ₹999 security deposit to confirm.,1
"Earn money online without investment, ₹2000 per day guaranteed, call now",1
"Part time job opportunity, 2 ghante kaam karo ₹40000 kamao, no qualification needed",1
"Amazon work from home job, pack items at home, ₹1500/day, registration fee ₹750",1
"Flipkart data entry job, ₹25000/month, no interview, just pay ₹999 and start today",1
"WhatsApp job offer: Like YouTube videos and earn ₹500 per task, join our Telegram group",1
"Meesho reseller job, ghar se karo, daily ₹2000 income guaranteed, no investment",1
"Urgent! Female candidates needed for online job, ₹4000/day, only WhatsApp preferred",1
"WORK FROM HOME: Typing job, ₹15 per line, earn ₹30000/month, no experience required",1
"Google work from home vacancy, ₹80000/month, apply by sending Aadhaar on this number",1
Yeh message share karo 10 logon ko aur pao ₹5000 direct bank mein,1
"Part-time online job: watch ads and earn ₹2000/day, 100% genuine, no investment",1
"BIG OPPORTUNITY: Earn ₹500 per referral, unlimited income, join our MLM team now",1
"COVID relief job scheme by Govt of India, ₹25000/month, register by paying ₹200 fee",1
"Genuine online job: photo editing from home, ₹1200/photo, no experience, pay ₹1500 kit fee",1
"Namaskar, aapko ek job offer hai ₹60000/month, sirf WhatsApp karo: 9XXXXXXXXX",1
"Insurance company mein job, ₹50000/month fixed salary, no target, no interview, apply now",1
"Earn ₹5 per click on ads, ₹1000 minimum withdrawal, 100% legit, join free Telegram channel",1
"Housewife job from home: pack agarbatti, earn ₹600/kg, we will courier raw material, pay ₹2000 deposit",1
"TATA company hiring, work from home, ₹45000/month, no experience, send CV on WhatsApp",1
LOTTERY RESULT: You have won ₹15 lakh in KBC lottery. Call now to claim your prize.,1
"Job offer from Dubai, salary AED 5000, visa sponsorship, just pay ₹25000 processing fee",1
"Singapore mein job chahiye? We have openings, pay ₹50000 agent fee and get visa guaranteed",1
"Online teaching job, ₹500 per hour, no degree needed, pay ₹1200 for registration kit",1
"Aapke resume ko dekh ke humne aapko select kiya hai, ₹35000/month, confirm karne ke liye ₹500 bhejo",1
"Daily task job: complete 5 tasks and earn ₹2000, first task free then pay ₹999 to continue",1
"Modelling job for boys and girls, ₹10000/day, no experience, send photo on WhatsApp",1
"Genuine reselling job, earn ₹1000 per product sold, no investment required, join now",1
"Mobile se paise kamao, ₹500 per day guaranteed, 2 ghante kaam karo ghar se",1
"Survey job online: answer questions, earn ₹300 per survey, join our WhatsApp group",1
"Urgent vacancy in MNC, salary ₹1.2 lakh/month, work from home, no degree required",1
"10th pass ke liye job: data entry, ₹18000/month, sirf ₹300 registration fee",1
"Amazon and Flipkart delivery job, earn ₹2500/day, bike chahiye nahi, ghar se hi karo",1
"Ek baar ₹500 invest karo aur roz ₹2000 kamao, 100% safe investment, guaranteed returns",1
"PM Rozgar Yojana ke tahat free job training aur ₹15000/month stipend, form bharne ke liye ₹100 bhejo",1
"NGO mein volunteer job, ₹25000/month, work from home, no experience, apply on WhatsApp",1
"Sarkari job guaranteed: pay ₹5000 and get government job in 3 months, 100% sure",1
"Earn in dollars from home, US company hiring Indians, ₹80000/month, interview not required",1
Mobile recharge job: recharge customers' numbers and earn ₹200 commission per recharge,1
"Our company is hiring content writers, ₹1500 per article, pay ₹800 joining fee",1
"Telegram pe join karo, daily task karo, ₹3000 roz kamao, genuine opportunity",1
"ICICI bank back-office job, ₹22000/month, 12th pass, no interview, apply fee ₹600",1
"Freelance video editing job, ₹2000 per video, pay ₹1500 software fee to start",1
"Ghar baithe saree, kurti pack karo aur ₹800/day kamao, material hum bhejenge, deposit ₹1000",1
"Online MLM business, sirf 3 log jodo aur ₹30000/month pakka income, join free",1
